model,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_negatives,false_positives,true_negatives,predict_ms_per_sample,model_size_bytes,cv_f1,cv_f1_std,cv_train_f1,train_f1,train_seconds,train_test_f1_gap
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,30,0.1934444624993148,2665,1.0,0.0,1.0,1.0,4.737241009000172,0.0
random_forest,0.9875,0.9803921568627451,1.0,0.9900990099009901,0.9993333333333334,0.9996078431372549,50,0,1,29,0.822006862500757,61050,0.9975308641975308,0.0049382716049382,1.0,1.0,11.365858572999969,0.00990099009900991
svc,0.9875,1.0,0.98,0.98989898989899,1.0,1.0,49,1,0,30,0.2185063124997555,5342,0.9974683544303796,0.0050632911392404,0.9993769470404984,1.0,9.944898270000069,0.010101010101010055
knn,0.975,1.0,0.96,0.9795918367346939,0.9986666666666667,0.9992307692307693,48,2,0,30,0.40192805000032195,17625,0.9742915312535564,0.0083180893300679,1.0,1.0,8.21190379099994,0.020408163265306145
dummy,0.625,0.625,1.0,0.7692307692307693,0.5,0.625,50,0,30,0,0.1610376374998168,2206,0.7692307692307693,0.0,0.7692307692307693,0.7692307692307693,5.799941782000133,0.0
